codigo_dane,municipio,subregion,periodo,ano_inicio,ano_fin,n_anos,bosque_estable_ha,no_bosque_ha,regeneracion_ha,sin_informacion_ha,deforestacion_ha,area_con_informacion_ha,pct_cobertura_bosque,bosque_estable_previo_ha,periodo_bosque_previo,tasa_perdida_relativa,cambio_neto_ha,fuente,calidad_fuente,estimado
05004,Abriaquí,Nutibara,2000-2002,2000,2002,2,13423.94,16259.23,,,9.05,29692.22,45.21,,,,9.05,excel,excel_tabla,False
05004,Abriaquí,Nutibara,2002-2004,2002,2004,2,13395.8,16258.2,,,8.99,29663.0,45.16,13423.94,2000-2002,0.0335,8.99,shapefile,shapefile_geometria,False
05004,Abriaquí,Nutibara,2004-2006,2004,2006,2,13395.04,16267.96,,,,29663.0,45.16,13395.8,2002-2004,,0.0,shapefile,shapefile_geometria,False
05004,Abriaquí,Nutibara,2006-2008,2006,2008,2,13394.75,16266.78,,,1.47,29663.0,45.16,13395.04,2004-2006,0.0055,1.47,shapefile,shapefile_geometria,False
05004,Abriaquí,Nutibara,2008-2010,2008,2010,2,13429.01,16225.36,,5.67,2.95,29657.32,45.28,13394.75,2006-2008,0.011,2.95,shapefile,shapefile_geometria,False
05004,Abriaquí,Nutibara,2010-2012,2010,2012,2,,,,,74.44,,,13429.01,2008-2010,0.2772,74.44,estimado-calibrado-rat,solo_defo_estimada,True
05004,Abriaquí,Nutibara,2012-2013,2012,2013,1,13505.37,16085.67,,5.95,87.29,29678.32,45.51,13429.01,2008-2010,0.65,87.29,raster,raster_zonal,False
05004,Abriaquí,Nutibara,2013-2014,2013,2014,1,13485.89,16189.26,,,15.25,29690.4,45.42,13505.37,2012-2013,0.1129,15.25,shapefile,shapefile_geometria,False
05004,Abriaquí,Nutibara,2014-2015,2014,2015,1,13453.08,16184.0,,,17.09,29654.16,45.37,13485.89,2013-2014,0.1267,17.09,excel,excel_tabla,False
05004,Abriaquí,Nutibara,2015-2016,2015,2016,1,,,,,25.09,,,13453.08,2014-2015,0.1865,25.09,cuencas-calibrado,solo_defo_estimada,True
05004,Abriaquí,Nutibara,2016-2017,2016,2017,1,13665.0,15962.38,,,35.66,29663.04,46.07,13453.08,2014-2015,0.2651,35.66,shapefile,shapefile_geometria,False
05004,Abriaquí,Nutibara,2017-2018,2017,2018,1,13654.53,16002.85,,1.32,4.28,29661.66,46.03,13665.0,2016-2017,0.0313,4.28,shapefile,shapefile_geometria,False
05004,Abriaquí,Nutibara,2018-2019,2018,2019,1,,,,,2.7,,,13654.53,2017-2018,0.0198,2.7,estimado,solo_defo_estimada,True
05004,Abriaquí,Nutibara,2019-2020,2019,2020,1,13617.96,16043.91,,,1.12,29662.99,45.91,13654.53,2017-2018,0.0082,1.12,shapefile,shapefile_geometria,False
05004,Abriaquí,Nutibara,2020-2021,2020,2021,1,13617.95,16045.04,,,,29662.99,45.91,13617.96,2019-2020,,0.0,shapefile,shapefile_geometria,False
05004,Abriaquí,Nutibara,2021-2022,2021,2022,1,13601.07,16056.07,,,5.77,29662.91,45.85,13617.95,2020-2021,0.0423,5.77,shapefile,shapefile_geometria,False
05004,Abriaquí,Nutibara,2022-2023,2022,2023,1,13573.16,16081.81,,,8.22,29663.19,45.76,13601.07,2021-2022,0.0604,8.22,shapefile,shapefile_geometria,False
05004,Abriaquí,Nutibara,2023-2024,2023,2024,1,,,,,12.14,,,13573.16,2022-2023,0.0894,12.14,estimado,solo_defo_estimada,True
05045,Apartadó,Centro,2000-2002,2000,2002,2,17703.41,35423.51,,252.81,16.41,53143.34,33.31,,,,16.41,excel,excel_tabla,False
05045,Apartadó,Centro,2002-2004,2002,2004,2,17674.26,35282.73,,284.07,40.27,52997.26,33.35,17703.41,2000-2002,0.1137,40.27,shapefile,shapefile_geometria,False
05045,Apartadó,Centro,2004-2006,2004,2006,2,17662.97,35376.58,,179.33,62.23,53101.78,33.26,17674.26,2002-2004,0.176,62.23,shapefile,shapefile_geometria,False
05045,Apartadó,Centro,2006-2008,2006,2008,2,17510.36,35442.98,,128.05,199.72,53153.05,32.94,17662.97,2004-2006,0.5654,199.72,shapefile,shapefile_geometria,False
05045,Apartadó,Centro,2008-2010,2008,2010,2,17452.83,35406.96,,318.51,102.76,52962.56,32.95,17510.36,2006-2008,0.2934,102.76,shapefile,shapefile_geometria,False
05045,Apartadó,Centro,2010-2012,2010,2012,2,,,,,88.39,,,17452.83,2008-2010,0.2532,88.39,estimado-calibrado-rat,solo_defo_estimada,True
05045,Apartadó,Centro,2012-2013,2012,2013,1,18613.45,34595.66,,54.01,54.01,53263.12,34.95,17452.83,2008-2010,0.3095,54.01,raster,raster_zonal,False
05045,Apartadó,Centro,2013-2014,2013,2014,1,16768.01,34764.97,,1432.31,410.94,51943.92,32.28,18613.45,2012-2013,2.2078,410.94,shapefile,shapefile_geometria,False
05045,Apartadó,Centro,2014-2015,2014,2015,1,17953.49,34905.96,,361.69,54.57,52914.02,33.93,16768.01,2013-2014,0.3255,54.57,excel,excel_tabla,False
05045,Apartadó,Centro,2015-2016,2015,2016,1,,,,,367.41,,,17953.49,2014-2015,2.0465,367.41,cuencas-calibrado,solo_defo_estimada,True
05045,Apartadó,Centro,2016-2017,2016,2017,1,17473.42,35185.86,12.92,366.05,241.81,52914.02,33.02,17953.49,2014-2015,1.3469,228.89,shapefile,shapefile_geometria,False
05045,Apartadó,Centro,2017-2018,2017,2018,1,15722.06,37331.57,1.63,69.74,154.92,53210.19,29.55,17473.42,2016-2017,0.8866,153.28,shapefile,shapefile_geometria,False
05045,Apartadó,Centro,2018-2019,2018,2019,1,,,,,97.73,,,15722.06,2017-2018,0.6216,97.73,estimado,solo_defo_estimada,True
05045,Apartadó,Centro,2019-2020,2019,2020,1,15600.86,37638.29,,0.91,40.54,53279.69,29.28,15722.06,2017-2018,0.2579,40.54,shapefile,shapefile_geometria,False
05045,Apartadó,Centro,2020-2021,2020,2021,1,15554.68,37677.1,,14.02,34.8,53266.59,29.2,15600.86,2019-2020,0.2231,34.8,shapefile,shapefile_geometria,False
